Ticket Type,Check-In Date,IP Location,Attendee Status,What size?,Job Title,gender,genderProbability
Early Bird - Individual Ticket,,Germany,Attending,Men's Medium,Coder,male,0.98
Early Bird - Individual Ticket,,"Ibadan, Nigeria",Attending,,Chief Executive Officer,male,0
Early Bird - Individual Ticket,,"Ibadan, Nigeria",Attending,,Manager,male,0
Early Bird - Individual Ticket,,"Ibadan, Nigeria",Attending,,Assistant Manager,male,0
Early Bird - Individual Ticket,,"Ibadan, Nigeria",Attending,,Chief Executive Officer,male,0
Early Bird - Individual Ticket,,"Ibadan, Nigeria",Attending,,Manager,male,0
Early Bird - Individual Ticket,,"Ibadan, Nigeria",Attending,,Assistant Manager,male,0
Early Bird - Individual Ticket,,"Warsaw, Poland",Attending,Men's Large,Data Scientist,male,1
Early Bird - Individual Ticket,,"Zagreb, Croatia",Attending,Men's Medium,Student,male,0.76
Early Bird - Individual Ticket,,"Warsaw, Poland",Attending,Men's Medium,Programmer,male,0.99
Early Bird - Individual Ticket,,"Warsaw, Poland",Attending,Men's XL,-,male,1
Early Bird - Individual Ticket,,"Gliwice, Poland",Attending,Men's Large,Machine Learning Engineer,male,0
Early Bird - Corporate Ticket,,"Wrocław, Poland",Attending,Men's Large,Data Scientist,male,1
Early Bird - Individual Ticket,,"Wandsworth, United Kingdom",Attending,Men's XL,Principal Software Engineer,male,0.84
Early Bird - Corporate Ticket,,"Poznan, Poland",Attending,Men's Medium,Associate Data Scientist,male,1
Individual Ticket,,"Bad Honnef, Germany",Attending,,Student,male,0.97
Individual Ticket,,"Bad Honnef, Germany",Attending,,Masters Student,male,0.97
Individual Ticket,,"Warsaw, Poland",Attending,Men's XL,Data Analyst,male,1
Corporate Ticket,,"Furth, Germany",Attending,Men's Large,Data Developer,male,0.99
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Large,Senior specialist,male,1
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Medium,Senior specialist,male,0.99
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Large,Senior specialist,male,1
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Large,Senior specialist,male,0.99
Corporate Ticket,,"Krakow, Poland",Attending,Women's Large,Junior Developer,female,0.98
Corporate Ticket,,"Krakow, Poland",Attending,Men's Medium,Head of User Intelligence,male,0.99
Corporate Ticket,,"Krakow, Poland",Attending,,Junior Developer,female,0.98
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Large,asdasdad,male,0.81
Corporate Ticket,,"Berlin, Germany",Attending,,Fullstack Engineer,female,0.98
Corporate Ticket,,"Berlin, Germany",Attending,,ROI Controlling & Reporting Specialist,male,1
Corporate Ticket,,"Berlin, Germany",Attending,,Fullstack Engineer,male,0.99
Corporate Ticket,,"Berlin, Germany",Attending,,Backend Engineer,male,0.93
Corporate Ticket,,"Berlin, Germany",Attending,,BI Engineer,male,0.95
Corporate Ticket,,"Berlin, Germany",Attending,,MicroStrategy Expert,male,1
Corporate Ticket,,"Berlin, Germany",Attending,,Backend Engineer,male,0
Corporate Ticket,,"Berlin, Germany",Attending,,Backend Engineer,male,0
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Large,Junior Data Scientist,male,0.99
Early Bird - Corporate Ticket,,"Poznan, Poland",Attending,Men's Medium,Senior Data Scientist,male,1
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Small,Data Scientist,male,0.95
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Large,Data Scientist,male,0.99
Corporate Ticket,,Unknown Location,Attending,Men's Medium,Senior IT Professional,male,0.99
Corporate Ticket,,"Krakow, Poland",Attending,Men's Medium,software developer,male,0.98
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Small,Data Scientist,male,0.95
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Large,Data Scientist,male,0.99
Corporate Ticket,,"Krakow, Poland",Attending,Men's Large,software developer,male,0.98
Corporate Ticket,,"Krakow, Poland",Attending,Men's Large,software developer,male,0.98
Early Bird - Corporate Ticket,,United Kingdom,Not Attending,Men's Large,Principal Data Scientist,male,0.9
Corporate Ticket,,"Berlin, Germany",Attending,,Customer Analyst,male,1
Individual Ticket,,"Paris, France",Attending,Women's Large,Data Scientists,female,0.98
Individual Ticket,,"Paris, France",Attending,Men's Large,Data Scientist,male,1
Corporate Ticket,,"Chorzów, Poland",Attending,Women's Small,DWH Developer,female,0.98
Individual Ticket,,"Warsaw, Poland",Attending,Men's Large,Student,male,0.99
Individual Ticket,,Poland,Attending,Women's Small,Owner,female,0.98
Individual Ticket,,"Warsaw, Poland",Attending,Women's Medium,Managing Director,female,0.98
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Medium,data engineer,male,1
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Large,data scientist,male,1
Individual Ticket,,"Gdańsk, Poland",Attending,Women's Large,Python Programmer,female,0.98
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Medium,Specialist,male,1
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Medium,Specialist,male,0.99
Individual Ticket,,Unknown Location,Attending,Men's Medium,Business,male,0.97
Corporate Ticket,,"Frankfurt am Main, Germany",Attending,,aaaaaa,male,0.61
Individual Ticket,,"Lidzbark Warmiński, Poland",Attending,Men's Medium,Data Analyst,male,0
Individual Ticket,,"Delhi, India",Attending,Men's Medium,Data Scientist,male,0.9
Individual Ticket,,"Lodz, Poland",Attending,Men's Large,Research Specialist,male,0
Individual Ticket,,"Krakow, Poland",Attending,Women's Medium,Data Scientist,female,0.98
Individual Ticket,,"Novi Sad, Serbia",Attending,Men's Medium,Team Lead,male,0.56
Individual Ticket,,"Warsaw, Poland",Attending,Men's Large,AI Expert,male,0.99
Individual Ticket,,"Nairobi, Kenya",Attending,,SYSTEMS DEVELOPER,male,0
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Medium,Individual Specialist,male,1
Individual Ticket,,"Nairobi, Kenya",Attending,Men's Medium,SYSTEMS DEVELOPER,male,0
Individual Ticket,,"Warsaw, Poland",Attending,Men's Large,PhD Student,male,0.95
Individual Ticket,,"Kansas City, MO, United States",Attending,Men's Medium,Data Scientist,male,0.9
Corporate Ticket,,"Warsaw, Poland",Attending,Women's Small,Analytical Researcher,female,0.98
Corporate Ticket,,"Warsaw, Poland",Attending,Men's XL,Python Developer,male,1
Corporate Ticket,,"Warsaw, Poland",Attending,Men's XL,Python Developer,male,1
Individual Ticket,,"Warsaw, Poland",Attending,Men's Medium,Research Scientist,male,1
Individual Ticket,,"Cotonou, Benin",Attending,Men's Medium,CEO,male,0.99
Individual Ticket,,"Wrocław, Poland",Attending,Men's Medium,Data Scientist,male,0.99
Individual Ticket,,"Delhi, India",Attending,Men's Medium,Data Scientist,male,0.9
Individual Ticket,,"Warsaw, Poland",Attending,Men's Medium,NLP engineer,male,1
Individual Ticket,,"Warsaw, Poland",Not Attending,Men's Large,NLP engineer,male,0
Early Bird - Corporate Ticket,,"Poznan, Poland",Attending,Men's Medium,Senior Data Scientist,male,0
Corporate Ticket,,Unknown Location,Attending,Women's Medium,IT Professional,female,0.98
Individual Ticket,,"Warsaw, Poland",Not Attending,Men's XL,Data Analyst,male,1
Corporate Ticket,,"Lusaka, Zambia",Attending,Men's Large,Director,male,0
Individual Ticket,,"Lusaka, Zambia",Attending,Men's Large,Director,male,0
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Medium,Python Developer,male,0
Individual Ticket,,"Warsaw, Poland",Attending,Men's XL,Post-doc,male,0.99
Corporate Ticket,,Poland,Attending,Women's Medium,IT Professional,female,0.98
Individual Ticket,,"Vilnius, Lithuania",Attending,Men's Medium,CEO,male,0
Individual Ticket,,"Wrocław, Poland",Attending,Men's Medium,Data Scientist,male,0
Corporate Ticket,,Poland,Attending,Women's Medium,IT Professional,female,0.98
Individual Ticket,,"Ghent, Belgium",Attending,,Backend Engineer,male,1
Individual Ticket,,"Warsaw, Poland",Attending,Men's Medium,-,male,0.99
Corporate Ticket,,"Kaunas, Lithuania",Attending,Men's Large,Data Scientist,male,0.99
Corporate Ticket,,"Kaunas, Lithuania",Attending,Women's Medium,Junior Data Scientist,female,0.98
Corporate Ticket,,"Kaunas, Lithuania",Attending,Women's Medium,Junior Data Analyst,female,0
Corporate Ticket,,"Kaunas, Lithuania",Attending,Men's Large,Data Scientist,male,0.97
Individual Ticket,,"Warsaw, Poland",Attending,Men's Medium,Python Developer,male,0.99
Individual Ticket,,"Warsaw, Poland",Attending,Men's Medium,NLP engineer,male,1
Individual Ticket,,Unknown Location,Attending,Women's Large,na,female,0.98
Early Bird - Individual Ticket,,"Warsaw, Poland",Not Attending,Men's Medium,Senior Software Developer,male,1
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Medium,Junior Data Scientist,male,1
Corporate Ticket,,"Warsaw, Poland",Attending,Men's Medium,Senior IT Manager,male,1
Individual Ticket,,Unknown Location,Attending,,data scientis,male,1
Corporate Ticket,,"Frankfurt am Main, Germany",Attending,Men's Large,Data Analyst,female,0.98
Corporate Ticket,,"Frankfurt am Main, Germany",Attending,Men's Large,Data Analyst,female,0.98
Corporate Ticket,,"Poznan, Poland",Attending,Women's Large,Data Scientist Intern,female,0.97
Corporate Ticket,,"Katowice, Poland",Attending,Men's Medium,Data Scientist,male,1
Corporate Ticket,,"Katowice, Poland",Attending,Men's XL,Data Scientist,male,1
Corporate Ticket,,"Katowice, Poland",Attending,Women's Medium,Data Scientist,female,0.98
Corporate Ticket,,"Katowice, Poland",Attending,Men's Large,Data Scientist,male,1
Individual Ticket,,"Krakow, Poland",Attending,Men's XL,Data Engineer,male,1
Corporate Ticket,,"Chelsea, United Kingdom",Attending,Men's Medium,Machine Learning Engineer,male,1
Early Bird - Individual Ticket,,"Zagreb, Croatia",Not Attending,Men's Medium,Student,male,0.76
Final Call - Individual Ticket,,"Łódź, Poland",Attending,Men's XL,Phd Student,male,0.99
Final Call - Individual Ticket,,"Poznan, Poland",Attending,Women's Medium,Marketing Coordinator,female,0.98
"Individual Tutorial Ticket - 14.12, Saturday",,"Frankfurt am Main, Germany",Attending,Men's Large,Credit Risk Analytics,male,0.99
"Corporate Tutorial Ticket - Track 2, 14.12, Saturday",,"Poznan, Poland",Attending,Men's Large,Principal Data Scientist,male,1
Final Call - Corporate,,"London, United Kingdom",Attending,Women's Medium,BI Developers TL,female,0.98
Final Call - Corporate,,"London, United Kingdom",Attending,Women's Medium,BI developers TL,female,0.98
Final Call - Corporate,,United States,Attending,Men's Large,Specialist,male,1
Final Call - Corporate,,United States,Attending,Men's Large,Specialist,male,0.99
Final Call - Individual Ticket,,"Warsaw, Poland",Attending,Men's Large,Data Management Specialist,male,0.99
Individual Ticket,,"London, United Kingdom",Not Attending,Women's Medium,Associate Risk Officer,female,0.97
Final Call - Corporate,,"Warsaw, Poland",Attending,Men's Medium,AAE,male,1
Final Call - Individual Ticket,,"Zurich, Switzerland",Attending,Men's Small,Big Data Engineer,male,0.99
Final Call - Corporate,,"Warsaw, Poland",Attending,Men's Medium,data scientist,male,1
Individual Ticket,,"Binningen, Switzerland",Not Attending,Men's Small,General Manager,male,0.98
Sages tickets,,"Warsaw, Poland",Attending,Women's Medium,KAM,female,0.98
Individual Ticket,,"Warsaw, Poland",Not Attending,,Data Scientist / Founder,male,0.99
Amazon Corporate ticekt,,"Ashburn, VA, United States",Attending,Men's XL,AWS Consultant,male,1
Media,,Poland,Attending,,PyData Poland,male,0.99
"Individual Tutorial Ticket - 14.12, Saturday",,United Kingdom,Attending,Men's XL,developer,male,0.99
Media,,"Łódź, Poland",Attending,Men's Large,Operator2,male,1
"Corporate Tutorial Ticket - 14.12, Saturday",,"Warsaw, Poland",Attending,Women's Medium,Data Scientist,female,0
Media,,"Warsaw, Poland",Attending,Men's Medium,redaktor,male,0.99
Early Bird - Corporate Ticket,"December 12, 2019 8:02 AM","Warsaw, Poland",Checked In,Men's Large,Software Developer,male,0.95
Corporate Ticket,"December 12, 2019 8:03 AM","Warsaw, Poland",Checked In,Men's XL,Python Engineer,male,1
Corporate Ticket,"December 12, 2019 8:04 AM","London, United Kingdom",Checked In,Men's Large,Associate data scientist,male,1
Early Bird - Corporate Ticket,"December 12, 2019 8:16 AM","Warsaw, Poland",Checked In,Men's Medium,Software Developer,male,0.98
ING tickets,"December 12, 2019 8:23 AM","Katowice, Poland",Checked In,,Communication Specialist,male,0
Individual Ticket,"December 12, 2019 8:26 AM","Wrocław, Poland",Checked In,Men's Medium,Data Scientist,male,0.99
Individual Ticket,"December 12, 2019 8:27 AM","Bratislava, Slovakia",Checked In,Men's Medium,Data engineer,male,0
Sages tickets,"December 12, 2019 8:28 AM","Warsaw, Poland",Checked In,Men's Large,Trener Data Science / Menedżer Data Science,male,1
Individual Ticket,"December 12, 2019 8:28 AM","Łódź, Poland",Checked In,Men's Large,Data Analyst,male,0
Final Call - Corporate,"December 12, 2019 8:29 AM","Poznan, Poland",Checked In,,Talent Acquisition Specialist,female,0.98
Early Bird - Corporate Ticket,"December 12, 2019 8:30 AM","Furth, Germany",Checked In,Men's Large,Data Developer,male,0.99
Corporate Ticket,"December 12, 2019 8:30 AM","Bonn, Germany",Checked In,Men's XL,Programmer,male,0.99
ING tickets,"December 12, 2019 8:32 AM","Katowice, Poland",Checked In,,Junior Credit Risk Modeller,female,0.98
Early Bird - Corporate Ticket,"December 12, 2019 8:32 AM","Warsaw, Poland",Checked In,Men's Medium,Software Developer,male,1
Corporate Ticket,"December 12, 2019 8:33 AM","Poznan, Poland",Checked In,Men's XL,Senior BI Engineer,male,1
Early Bird - Corporate Ticket,"December 12, 2019 8:33 AM","Warsaw, Poland",Checked In,Men's Large,Python Developer,male,1
Early Bird - Corporate Ticket,"December 12, 2019 8:34 AM","Furth, Germany",Checked In,Men's Large,Data Scientist,male,0.99
Early Bird - Corporate Ticket,"December 12, 2019 8:34 AM","Halle, Germany",Checked In,Men's XL,DWH Developer,male,0.98
Sages tickets,"December 12, 2019 8:34 AM","Warsaw, Poland",Checked In,Men's Large,KAM,male,1
Individual Ticket,"December 12, 2019 8:37 AM","Warsaw, Poland",Checked In,Women's Medium,Data Scientist,female,0.98
Final Call - Individual Ticket,"December 12, 2019 8:38 AM","Warsaw, Poland",Checked In,Men's Medium,Head of the Department of Corporate Architecture,male,1
Corporate Ticket,"December 12, 2019 8:39 AM","Krakow, Poland",Checked In,Men's Medium,Data Scientist,male,0
Individual Ticket,"December 12, 2019 8:40 AM","Zabrze, Poland",Checked In,Women's Small,Data scientist,female,0.98
Individual Ticket,"December 12, 2019 8:41 AM","Krakow, Poland",Checked In,Women's Medium,Data Scientist,female,0.98
Corporate Ticket,"December 12, 2019 8:43 AM",Unknown Location,Checked In,Men's Large,Senior Data Scientist,male,1
Individual Ticket,"December 12, 2019 8:43 AM","Warsaw, Poland",Checked In,Men's Large,Data Scientist,male,1
Individual Ticket,"December 12, 2019 8:44 AM","Warsaw, Poland",Checked In,Men's Medium,PhD Student,male,1
Individual Ticket,"December 12, 2019 8:44 AM",Poland,Checked In,Men's Medium,Data Scientist,male,1
Individual Ticket,"December 12, 2019 8:45 AM","Warsaw, Poland",Checked In,Men's Small,PhD Student,male,0.99
Early Bird - Individual Ticket,"December 12, 2019 8:47 AM","Warsaw, Poland",Checked In,Men's Large,BI Developer,male,0.81
Early Bird - Corporate Ticket,"December 12, 2019 8:48 AM","Warsaw, Poland",Checked In,,Software Developer,male,1
Corporate Ticket,"December 12, 2019 8:49 AM","Warsaw, Poland",Checked In,Men's XL,Python Developer,male,1
Corporate Ticket,"December 12, 2019 8:50 AM","Warsaw, Poland",Checked In,,Senior Data Engineer,male,0.99
Individual Ticket,"December 12, 2019 8:50 AM","Warsaw, Poland",Checked In,Men's XL,Mechanical design engineer,male,0.98
Corporate Ticket,"December 12, 2019 8:51 AM","Warsaw, Poland",Checked In,Men's Large,Data Scientist,male,1
Final Call - Individual Ticket,"December 12, 2019 8:52 AM","Kaunas, Lithuania",Checked In,Men's Large,Organizer,male,0.75
Corporate Ticket,"December 12, 2019 8:53 AM",Unknown Location,Checked In,Men's Large,Senior IT Professional,male,1
Final Call - Corporate,"December 12, 2019 8:53 AM","Warsaw, Poland",Checked In,Men's Large,data scientist,male,1
Corporate Ticket,"December 12, 2019 8:53 AM","Warsaw, Poland",Checked In,Men's Medium,data scientist,male,1
Individual Ticket,"December 12, 2019 8:54 AM","Ghent, Belgium",Checked In,Men's Medium,Backend Engineer,male,1
Early Bird - Corporate Ticket,"December 12, 2019 8:54 AM","Berlin, Germany",Checked In,Men's XL,Junior Data Warehouse Developer,male,0
Individual Ticket,"December 12, 2019 8:55 AM","Wrocław, Poland",Checked In,Men's Medium,Senior Research Analyst,male,0.99
Early Bird - Individual Ticket,"December 12, 2019 8:55 AM","Warsaw, Poland",Checked In,Men's XL,-,male,1
Media,"December 12, 2019 8:56 AM","Łódź, Poland",Checked In,Men's Large,Owner,male,1
Media,"December 12, 2019 8:56 AM","Łódź, Poland",Checked In,Women's Large,Operator,male,1
Early Bird - Individual Ticket,"December 12, 2019 8:57 AM","Warsaw, Poland",Checked In,Men's Medium,Software Developer,male,0.99
CBRE Tickets - invoiced,"December 12, 2019 8:58 AM","London, United Kingdom",Checked In,,Software Engineer,male,0.99
Individual Ticket,"December 12, 2019 8:58 AM","Wrocław, Poland",Checked In,Men's Large,Big Data Engineer,male,0.95
Final Call - Individual Ticket,"December 12, 2019 8:59 AM","Łódź, Poland",Checked In,Women's Large,Community,female,0.98
Final Call - Individual Ticket,"December 12, 2019 8:59 AM","Łódź, Poland",Checked In,Women's Large,Community,female,0.98
Individual Ticket,"December 12, 2019 8:59 AM","Warsaw, Poland",Checked In,Men's Medium,Owner,male,1
Early Bird - Individual Ticket,"December 12, 2019 9:00 AM","Warsaw, Poland",Checked In,Men's Medium,Junior Data Scientist,male,0.99
Corporate Ticket,"December 12, 2019 9:00 AM","Milan, Italy",Checked In,Men's Large,Data Scientist,male,0.99
Early Bird - Individual Ticket,"December 12, 2019 9:00 AM","Warsaw, Poland",Checked In,Men's XL,analyst,male,0.99
Individual Ticket,"December 12, 2019 9:01 AM","Frankfurt am Main, Germany",Checked In,Women's Medium,Manager Responsible AI,female,0.97
Early Bird - Corporate Ticket,"December 12, 2019 9:01 AM","Warsaw, Poland",Checked In,,Programmer,male,1
Final Call - Individual Ticket,"December 12, 2019 9:01 AM","Bibice, Poland",Checked In,Men's XL,Deep Learning Engineer,male,0
Corporate Ticket,"December 12, 2019 9:02 AM","Katowice, Poland",Checked In,Men's XL,Data Science Expert,male,1
Corporate Ticket,"December 12, 2019 9:03 AM","Warsaw, Poland",Checked In,Women's Medium,Expert,female,0.98
Final Call - Individual Ticket,"December 12, 2019 9:03 AM","Kaunas, Lithuania",Checked In,Men's Medium,Organizer,male,1
Individual Ticket,"December 12, 2019 9:03 AM",Poland,Checked In,Men's XL,Data Scientist,male,0
Early Bird - Corporate Ticket,"December 12, 2019 9:04 AM","Krakow, Poland",Checked In,Men's Small,Machine Learning Team Lead,male,1
Early Bird - Individual Ticket,"December 12, 2019 9:05 AM","Łódź, Poland",Checked In,Men's Medium,Owner,male,1
Corporate Ticket,"December 12, 2019 9:05 AM","Warsaw, Poland",Checked In,Men's Small,Data Scientist,male,0.95
Final Call - Corporate,"December 12, 2019 9:05 AM",United States,Checked In,Men's Large,Specialist,male,0.99
Corporate Ticket,"December 12, 2019 9:06 AM","Warsaw, Poland",Checked In,Men's Medium,Data Engineer,male,1
Final Call - Corporate,"December 12, 2019 9:06 AM","Warsaw, Poland",Checked In,Men's Medium,Risk Expert,male,0
Final Call - Corporate,"December 12, 2019 9:06 AM","Poznan, Poland",Checked In,,Event Specialist,female,0.98
Corporate Ticket,"December 12, 2019 9:06 AM","Frankfurt am Main, Germany",Checked In,Men's Large,Data Analyst,female,0.98
Corporate Ticket,"December 12, 2019 9:07 AM","Frankfurt am Main, Germany",Checked In,Men's Medium,Data Analyst,male,1
Corporate Ticket,"December 12, 2019 9:07 AM",United Kingdom,Checked In,Men's Large,Tech Lead,male,0.99
Final Call Corporate ticket - additional,"December 12, 2019 9:08 AM","Warsaw, Poland",Checked In,Women's Medium,Bioinformatyk,female,0.98
Early Bird - Corporate Ticket,"December 12, 2019 9:09 AM","Wrocław, Poland",Checked In,Men's Large,Data Scientist,male,1
Corporate Ticket,"December 12, 2019 9:09 AM","Krakow, Poland",Checked In,Women's Small,Analyst,female,0.98
Early Bird - Corporate Ticket,"December 12, 2019 9:10 AM","Warsaw, Poland",Checked In,Men's Large,SOFTWARE DEVELOPER,male,1
Corporate Ticket,"December 12, 2019 9:10 AM","Warsaw, Poland",Checked In,Women's Medium,Consultant,female,0.98
Corporate Ticket,"December 12, 2019 9:10 AM","Amsterdam, Netherlands",Checked In,Men's XL,Senior ML Engineer,male,0.99
Individual Ticket,"December 12, 2019 9:11 AM","Wrocław, Poland",Checked In,,Data Engineer,male,1
